file_name,duration(seconds),call_id,agent_name
98042912111.wav,168,3050,Donna
94680199794.wav,317,3044,George
99110829369.wav,213,3016,Mark
94184675656.wav,205,3045,Robert
90893239822.wav,296,3000,Emily
91226629094.wav,242,3033,Brian
99178366328.wav,120,3001,Lisa
90966708576.wav,353,3027,Joseph
97192824065.wav,313,3025,Emily
98075209503.wav,64,3039,Jennifer
91964381149.wav,8,3016,Mark
96791721530.wav,228,3038,Anthony
96970039377.wav,162,3010,Carol
94758175487.wav,295,3043,Elizabeth
92262609858.wav,298,3020,Kimberly
99246646636.wav,310,3010,Mary
93352030020.wav,40,3041,Ashley
95586766725.wav,258,3050,Joseph
94081567270.wav,11,3013,Dorothy
97135683164.wav,381,3014,Andrew
90949939822.wav,373,3020,Karen
92821283368.wav,263,3045,Susan
93264227386.wav,197,3023,William
97035077858.wav,193,3033,Anthony
93736652618.wav,93,3013,Betty
93388321858.wav,93,3027,Kimberly
98321626865.wav,251,3007,Charles
95557483472.wav,13,3017,Robert
90663015717.wav,259,3027,Joshua
94434914932.wav,272,3007,Patricia
92510444197.wav,254,3033,Margaret
90087216891.wav,11,3010,Dorothy
97365420166.wav,46,3034,Steven
90648365933.wav,300,3036,Betty
95572170447.wav,169,3047,Robert
92569559481.wav,203,3026,Melissa
97481481374.wav,400,3012,Robert
97893526337.wav,171,3046,David
95133717747.wav,316,3013,Donald
91877299097.wav,70,3009,Karen
97460486738.wav,170,3037,Sarah
91230841253.wav,368,3040,Amanda
98350118609.wav,311,3006,Elizabeth
90442393247.wav,97,3005,Mark
94186866625.wav,12,3050,Mary
96198360925.wav,327,3026,Andrew
99208714956.wav,293,3045,George
97906270809.wav,128,3039,Jessica
93703253081.wav,280,3023,Andrew
96313741902.wav,341,3015,Matthew
97886079283.wav,188,3029,Linda
97667318344.wav,207,3038,Matthew
90222632434.wav,171,3044,Dorothy
92489634262.wav,220,3012,Sarah
94468739796.wav,103,3010,Kimberly
93901378523.wav,112,3035,Sandra
90159090062.wav,245,3015,Andrew
93056597476.wav,156,3004,Jennifer
94620636600.wav,14,3018,Daniel
96901333596.wav,283,3050,Mark
97356834320.wav,348,3043,Elizabeth
97165166637.wav,94,3009,Lisa
96347288390.wav,360,3015,Matthew
98499062667.wav,108,3010,Paul
91473611467.wav,27,3037,Melissa
98928784634.wav,261,3007,William
90749479232.wav,220,3011,Matthew
95794473117.wav,95,3022,Emily
94634941131.wav,114,3001,Betty
97359120527.wav,85,3018,Donna
98101584568.wav,10,3002,Kevin
95955339156.wav,362,3005,Kevin
93838760090.wav,79,3041,Daniel
96494096409.wav,25,3012,Susan
91479111115.wav,122,3025,Charles
98895292987.wav,176,3022,Anthony
93424113151.wav,95,3034,Jessica
92393828263.wav,356,3036,Susan
98916349109.wav,154,3035,Michael
95939179491.wav,162,3010,Daniel
97942061640.wav,170,3048,Ashley
98966418305.wav,39,3026,Paul
95463503390.wav,400,3034,Thomas
90638291232.wav,311,3015,Barbara
93253423782.wav,86,3017,Emily
99435711542.wav,53,3044,Sarah
95274274704.wav,380,3031,Kevin
94162105295.wav,96,3037,Christopher
93752342779.wav,225,3037,Linda
94283761373.wav,133,3003,Kenneth
94424982467.wav,84,3022,William
96980510184.wav,368,3038,Karen
98691924732.wav,108,3042,Matthew
92177885214.wav,152,3046,Nancy
94571739005.wav,68,3012,Melissa
97639605345.wav,195,3004,Sandra
98653511389.wav,203,3027,Kimberly
98075386628.wav,364,3049,Patricia
98848048768.wav,53,3017,Dorothy
91342627717.wav,124,3005,Thomas
96994458845.wav,187,3029,Matthew
92020491621.wav,9,3032,Robert
97566226942.wav,372,3040,Robert
93297074422.wav,185,3046,Margaret
95051822418.wav,193,3004,John
97407730262.wav,81,3007,Charles
90192329973.wav,342,3025,Richard
93995169575.wav,195,3012,Kimberly
96631190522.wav,179,3020,Sandra
91221854113.wav,297,3026,Dorothy
93162005063.wav,271,3042,John
99203756182.wav,72,3049,William
98735844749.wav,170,3009,Betty
96278136109.wav,91,3008,Donna
93256241190.wav,149,3026,George
92393934855.wav,32,3018,Kevin
91630707766.wav,212,3027,Kimberly
97200846805.wav,111,3033,Elizabeth
97596117094.wav,397,3017,Donna
94764814101.wav,329,3024,Kenneth
90691810728.wav,376,3045,Kevin
96038598323.wav,212,3030,Robert
91987249888.wav,361,3043,Mary
91370716291.wav,70,3001,Donna
97527345345.wav,14,3004,Jennifer
97133116388.wav,189,3011,George
90280083429.wav,396,3045,Anthony
96061088150.wav,44,3047,Donald
98942060616.wav,319,3037,Mark
98321614752.wav,237,3022,Amanda
90635488559.wav,297,3042,Anthony
98792496521.wav,90,3028,Kenneth
92602220693.wav,293,3025,Barbara
93285367687.wav,349,3031,Emily
93007823811.wav,134,3022,Charles
96151224601.wav,100,3046,Kevin
93306768101.wav,371,3039,Donald
98717763206.wav,16,3012,Amanda
99787544110.wav,219,3024,Patricia
95517778174.wav,319,3036,Barbara
93419349410.wav,343,3017,John
99444276269.wav,287,3045,Daniel
90931833130.wav,316,3009,William
97382471198.wav,234,3048,Andrew
94619814614.wav,4,3033,Michelle
99610134297.wav,153,3036,John
95006647630.wav,273,3001,Thomas
98600957190.wav,376,3035,Donald
90459076981.wav,27,3021,Matthew
92567150451.wav,15,3047,Elizabeth
93089500005.wav,41,3020,Sandra
92246132843.wav,304,3029,Carol
91693764264.wav,318,3044,George
94711675937.wav,163,3029,Robert
94731971674.wav,307,3022,Kevin
91689739259.wav,345,3013,David
91371440325.wav,274,3012,Anthony
97265348521.wav,135,3012,Donna
96099365460.wav,216,3024,Daniel
94348945669.wav,374,3015,Ashley
95019197449.wav,188,3009,Brian
99218883302.wav,259,3009,Donna
92532066120.wav,263,3022,Kenneth
95411250128.wav,180,3032,Patricia
98397378686.wav,154,3000,Barbara
95312189262.wav,327,3016,Matthew
90618599737.wav,62,3016,Linda
92789188193.wav,270,3024,Christopher
97031214005.wav,181,3007,Steven
96011433822.wav,160,3003,Michelle
98727798428.wav,29,3008,Mary
91145652480.wav,379,3032,Matthew
94799240090.wav,275,3032,Linda
92232074685.wav,24,3042,Melissa
97210463914.wav,53,3044,Jennifer
90218015724.wav,327,3044,Donna
98688639212.wav,319,3011,Linda
96534150158.wav,32,3049,Thomas
95074640951.wav,298,3032,Betty
92336783366.wav,55,3030,Kimberly
92604082770.wav,313,3030,Susan
97015239436.wav,176,3000,Carol
91859976093.wav,127,3014,Margaret
90517205062.wav,166,3020,Ashley
91224436782.wav,343,3050,Andrew
93965281169.wav,55,3012,Emily
92132485936.wav,208,3013,Robert
96258939466.wav,125,3029,Thomas
93229233698.wav,366,3049,Kevin
98073197642.wav,223,3038,Karen
91253894943.wav,128,3049,Emily
90394870511.wav,178,3020,Michael
98897573687.wav,381,3032,Matthew
98167513313.wav,290,3005,Melissa
91453961811.wav,392,3041,Joseph
90535132286.wav,86,3047,David
96250454902.wav,389,3028,Brian
97983640981.wav,160,3036,Betty
98516902365.wav,305,3038,Steven
